Attribute,Count
adult,26022
written-pattern,19947
female,18850
worked-flat,14289
positive-ease,13427
long-sleeve,12669
in-the-round,11348
bottom-up,10451
chart,10238
top-down,10069
seamed,9744
seamless,9599
ribbed,7019
plus,6931
teen,6879
one-piece,6630
schematic,6606
crew-neck,6231
short-rows,5898
buttoned,5571
textured,5542
buttonholes,5438
set-in-sleeve,5418
unisex,5102
oversized,4789
cables,4688
v-neck,4636
raglan-sleeve,4155
fitted,4023
lace,3989
stranded,3729
front-fastening,3649
straight,3366
video-tutorial,3364
drop-sleeve,3115
circular-yoke,3057
sleeves,2971
collar,2938
male,2796
petite,2593
stripes-colorwork,2510
cuffed-sleeve,2378
waist,2256
3-4-sleeve,2203
no-ease,1936
eyelets,1794
short-sleeve,1733
cropped,1672
scoop-neck,1480
other-edging,1437
three-needle-bind,1371
single-breasted,1345
shawl,1231
twisted-stitches,1218
stripes,1152
aline,1054
provisional,1025
modified-drop-sleeve,1017
mock-turtleneck,986
icord,951
turtleneck,904
kitchener,862
phototutorial,861
slipped-stitches,858
selvedge,856
icord-edging,835
sideways,829
tied,826
steeks,817
bobble-or-popcorn,699
negative-ease,688
Intarsia,679
crocheted-edging,665
elbow-sleeve,643
tall,640
ballet-neck,617
set-in-pocket,593
other-colorwork,590
hems,576
boat-neck,571
saddle-shoulder,563
bracelet-sleeve,561
norwegian,558
lace-edging,505
zipper,499
funnel-neck,438
fairisle,421
cap-sleeve,420
hood,413
brioche-tuck,412
rolled,392
puffed-sleeve,375
modular,367
icelandic,359
asymmetric,353
wrap,350
captioned-video,344
ruffles,341
contiguous,335
dolman-sleeve,301
doubleknit,298
shirt-collar,296
aran,287
sleeveless,273
patch-pocket,268
darts,267
mosaic,259
facings,254
surplice-neck,253
pockets,252
mesh,251
cowl-neck,231
embroidery,229
picots,226
square-neck,200
empire,200
corrugated-ribbing,196
swing,196
henley-neck,184
beads,181
chevron,168
peplum,150
dropped-stitches,146
afterthought-pocket,140
ripple,132
rectangle,132
gathers,114
bias,114
doublebreasted,112
pattern-recipe,106
guernsey,106
reversible,104
mandarin,102
elastic,96
hidden-pocket,96
duplicate-stitch,96
gusset,94
Shetland,90
braids-plaiting,85
pleated,74
notched,70
smocked,70
swedish,69
square,63
low-vision,60
convertible,60
appliqued,59
circle-shaped,58
fringe,57
snaps,55
keyhole-neck,55
tassel,53
child,51
danish,51
shoulder-fastening,51
flutter-sleeve,49
backfastening,47
irish,46
peterpan,42
color-blind-accessible,42
motifs,40
sweetheart-neck,38
surface-crochet,37
box-pleats,37
toddler,34
screen-reader,33
entrelac,31
finnish,29
tulip-sleeve,28
twined,26
machine-instructions,25
triangle-shaped,22
estonian,22
latvian,19
maternity,18
faroese,18
bavarian,15
granny-square,14
cowichan,14
felted,12
lined,12
illusion,11
tubular-pocket,9
nalgar-sleeve,9
sami,8
miniature,8
andean,6
turkish,6
hexagon,5
baby,5
top-cuff-down,4
halter-neck,4
freeform,4
halfcircle-shape,4
wide-toe,3
heel-flap,3
thrums,3
moebius,2
3-dimensional,2
digital-audio,2
post-stitch,2
racerback,2
crescent-shape,2
irish-crochet,2
octagon,2
filet-crochet,1
cube-shaped,1
tapestry-crochet,1
toe-up,1
tunisian,1
preemie,0
newborn-size,0
star-shaped,0
seamed-sock,0
doll-size,0
