category,attribute_id,attribute_name,description,Count
Age / Size / Fit -> Age or Size,10,adult,18 years or over,2620
Age / Size / Fit -> Age or Size,4,baby,birth to 12  months,1
Age / Size / Fit -> Age or Size,8,child (4-12),4 to 12 years,0
Age / Size / Fit -> Age or Size,20,doll,scaled for a toy figure,3
Age / Size / Fit -> Age or Size,5,newborn,to fit a newborn baby,27
Age / Size / Fit -> Age or Size,6,preemie,to fit a premature baby,9
Age / Size / Fit -> Age or Size,9,teen (13-17),13 to 17 years,0
Age / Size / Fit -> Age or Size,7,toddler (1-3),1 to 3 years,0
Age / Size / Fit -> Ease,12,negative ease,"measurements of garment are  smaller than the corresponding body measurements, creating a snugger  fit",0
Age / Size / Fit -> Ease,17,no ease,measurements of  the garment are the same as corresponding body measurments,0
Age / Size / Fit -> Ease,257,positive ease,measurements of the garment are  larger than corresponding body measurements,0
Age / Size / Fit -> Fit,18,fitted,fits close to the body,386
Age / Size / Fit -> Fit,16,maternity fit,extra length and extra width/room is added to the waist to  accomodate a pregnant person's stomach,0
Age / Size / Fit -> Fit,19,miniature,designed to fit small-scale items,2
Age / Size / Fit -> Fit,11,oversized fit,large amount of positive ease used as a design element.,0
Age / Size / Fit -> Fit,13,petite fit,contains instructions for size XS and smaller,0
Age / Size / Fit -> Fit,14,plus fit,contains instructions for size XL and larger,0
Age / Size / Fit -> Fit,21,tall fit,contains instructions for taller individuals,0
Age / Size / Fit -> Gender,2,female,Usually used or worn by females,1886
Age / Size / Fit -> Gender,1,male,Usually used or worn by males,1949
Age / Size / Fit -> Gender,3,unisex,Used or worn by anyone,646
Colorwork,309,corrugated ribbing,a two-color ribbing in which the knits are worked in one color and the purls in a second color.,0
Colorwork,183,illusion/shadow,a knitting and crochet technique that produces an hidden image that is only viewable from an angle.,0
Colorwork,184,Intarsia,colorwork technique used to create separate blocks of color and in which each area of color has its own separate length of yarn.,50
Colorwork,186,mosaic,"colorwork technique in which the color pattern is made by slipping stitches, with only one color is worked on each row.",45
Colorwork,306,other,,243
Colorwork,181,stranded,multi-color knitting with all yarn used in the row/round carried across the back of the work.,279
Colorwork,311,stripes / colorwork,Alternating sections of two or more colors,0
Design Elements,152,A line,"a garment that is fitted around one point, most commonly the shoulders or the waist, and gradually widens out toward the hem giving the impression of a capital letter A.",0
Design Elements,312,appliqued / embellished,fabric has a smaller ornament or embellishment applied to its surface for decoration.,0
Design Elements,141,asymmetric,designed to be unbalanced on ppposite sides of the finished object.,28
Design Elements,139,back fastening,utilizes some type of closure at the back of a garment or piece.,0
Design Elements,55,beads / pailettes,embellished with beads or pailettes.,0
Design Elements,154,box pleats,a style of please that is actually two pleats facing opposite directions to make a flat surface between pleats; can be reversible.,0
Design Elements,308,braids / plaiting,,0
Design Elements,136,buttoned,embellished or fastened with buttons or something button-like.,1012
Design Elements,88,circular yoke,"a yoke with a rounded look which integrates shoulder and neck, with shaping spread evenly around circumference.",0
Design Elements,89,convertible,designed to be changed from one style to another.,22
Design Elements,283,cropped,shortened or clipped in length.,253
Design Elements,109,darts,a decrease/increase along a line which creates shaping.,53
Design Elements,142,double breasted,"fastened by overlapping one edge of the front over the other, usually with a double row of buttons.",0
Design Elements,290,duplicate stitch,embellishment technique using a second yarn (often of a contrasting color) and tapestry needle to create a design on a piece of fabric by working over existing stitches.,0
Design Elements,291,embroidery,surface embellishment worked on the finished piece using a thread/string/yarn and tapestry needle.,15
Design Elements,153,empire waist,waist shaping (seamed or not) that falls just under the bustline.,0
Design Elements,157,facings,"pieces of material that are folded back & inside, usually at the edges of a garment but sometimes over a seam.",21
Design Elements,60,fringe,Decorative edging consisting of lengths of yarn or fabric attached at one end to the work.,5
Design Elements,137,front fastening,utilizes some type of closure at the front of a garment or piece.,0
Design Elements,131,gathers,small fold or pucker made by gathering fabric together.,15
Design Elements,132,hems,An edge finish that consists of a folded back edge that is then fastened down.,35
Design Elements,85,hood,A covering for the head and neck.,44
Design Elements,144,lined,has a material or fabric that covers all or part of the inner surface of the garment or item.,2
Design Elements,95,notched,has a v-shaped cut or indentation.,3
Design Elements,156,peplum,"a short flared, ruffled, or gathered, strip attached to the waistline of a garment to create a frill or flounce.",10
Design Elements,68,picots,"a series of small, ornamental looped shapes which form a decorate edge or embellishment to fabric.",11
Design Elements,145,pleated,,7
Design Elements,289,racer back,a back treatment for sleeveless garments which is formed by extra deep armholes or straps that meet at a narrow back.,0
Design Elements,133,ruffles,"fabric that is significantly wider at one edge than the opposite edge, resulting in a frilled or flounced appearance.",23
Design Elements,138,shoulder fastening,having fastenings on the shoulders.,0
Design Elements,143,single breasted,"coat, jacket, cardigan or vest with a single row of buttons.  Front pieces usually only overlap for the width of the button band.",0
Design Elements,140,snaps,enclosures or fasteners for a garment that are made up of two pieces that fit into one another and snap together to secure the two pieces of the garment.,7
Design Elements,150,straight,without shaping,434
Design Elements,66,stripes,Alternating sections of two or more colors or textures.,355
Design Elements,148,swing,"an exagerrated, loosely flared shape, usually on a coat or jacket.",31
Design Elements,73,tassel / pompom,a dangling decorative trim or adornment consisting of a bunch of cords fastened at one end.,0
Design Elements,134,tied,fastened with tied cords/strings.,61
Design Elements,111,waist shaping,shaping in the waist area in order to give the garment a  defined waist.,0
Design Elements,146,wrap,garment that folds around the body.,51
Design Elements,113,zipper,item is fastened or embellished with a zipper.,48
Design Elements -> Collar,93,collared,An extra length of fabric that is attached to the neck opening of a garment.,0
Design Elements -> Collar,256,mandarin,A short standing collar that is separated by a gap at the front and/or back.  Also called a Nehru collar.,6
Design Elements -> Collar,94,peter pan,a small flat collar that is rounded at the front.,0
Design Elements -> Collar,255,rolled,a collar or edge treatment to for a neck that is closely rolled and and very short.,17
Design Elements -> Collar,96,shawl collar,"a wide, turned-over collar of a garment that combines with lapels forming an unbroken curving line.",0
Design Elements -> Collar,99,shirt,short folded collar that opens in the middle and has pointed ends. Sometimes fastens with buttons.,11
Design Elements -> Edging,292,crocheted edging,an edge that is added to a piece using a crochet hook.,0
