category,attribute_id,attribute_name,description
Age / Size / Fit -> Age or Size,10,adult,18 years or over
Age / Size / Fit -> Age or Size,4,baby,birth to 12  months
Age / Size / Fit -> Age or Size,8,child (4-12),4 to 12 years
Age / Size / Fit -> Age or Size,20,doll,scaled for a toy figure
Age / Size / Fit -> Age or Size,5,newborn,to fit a newborn baby
Age / Size / Fit -> Age or Size,6,preemie,to fit a premature baby
Age / Size / Fit -> Age or Size,9,teen (13-17),13 to 17 years
Age / Size / Fit -> Age or Size,7,toddler (1-3),1 to 3 years
Age / Size / Fit -> Ease,12,negative ease,"measurements of garment are  smaller than the corresponding body measurements, creating a snugger  fit"
Age / Size / Fit -> Ease,17,no ease,measurements of  the garment are the same as corresponding body measurments
Age / Size / Fit -> Ease,257,positive ease,measurements of the garment are  larger than corresponding body measurements
Age / Size / Fit -> Fit,18,fitted,fits close to the body
Age / Size / Fit -> Fit,16,maternity fit,extra length and extra width/room is added to the waist to  accomodate a pregnant person's stomach
Age / Size / Fit -> Fit,19,miniature,designed to fit small-scale items
Age / Size / Fit -> Fit,11,oversized fit,large amount of positive ease used as a design element.
Age / Size / Fit -> Fit,13,petite fit,contains instructions for size XS and smaller
Age / Size / Fit -> Fit,14,plus fit,contains instructions for size XL and larger
Age / Size / Fit -> Fit,21,tall fit,contains instructions for taller individuals
Age / Size / Fit -> Gender,2,female,Usually used or worn by females
Age / Size / Fit -> Gender,1,male,Usually used or worn by males
Age / Size / Fit -> Gender,3,unisex,Used or worn by anyone
Colorwork,309,corrugated ribbing,a two-color ribbing in which the knits are worked in one color and the purls in a second color.
Colorwork,183,illusion/shadow,a knitting and crochet technique that produces an hidden image that is only viewable from an angle.
Colorwork,184,Intarsia,colorwork technique used to create separate blocks of color and in which each area of color has its own separate length of yarn.
Colorwork,186,mosaic,"colorwork technique in which the color pattern is made by slipping stitches, with only one color is worked on each row."
Colorwork,306,other,
Colorwork,181,stranded,multi-color knitting with all yarn used in the row/round carried across the back of the work.
Colorwork,311,stripes / colorwork,Alternating sections of two or more colors
Design Elements,152,A line,"a garment that is fitted around one point, most commonly the shoulders or the waist, and gradually widens out toward the hem giving the impression of a capital letter A."
Design Elements,312,appliqued / embellished,fabric has a smaller ornament or embellishment applied to its surface for decoration.
Design Elements,141,asymmetric,designed to be unbalanced on ppposite sides of the finished object.
Design Elements,139,back fastening,utilizes some type of closure at the back of a garment or piece.
Design Elements,55,beads / pailettes,embellished with beads or pailettes.
Design Elements,154,box pleats,a style of please that is actually two pleats facing opposite directions to make a flat surface between pleats; can be reversible.
Design Elements,308,braids / plaiting,
Design Elements,136,buttoned,embellished or fastened with buttons or something button-like.
Design Elements,88,circular yoke,"a yoke with a rounded look which integrates shoulder and neck, with shaping spread evenly around circumference."
Design Elements,89,convertible,designed to be changed from one style to another.
Design Elements,283,cropped,shortened or clipped in length.
Design Elements,109,darts,a decrease/increase along a line which creates shaping.
Design Elements,142,double breasted,"fastened by overlapping one edge of the front over the other, usually with a double row of buttons."
Design Elements,290,duplicate stitch,embellishment technique using a second yarn (often of a contrasting color) and tapestry needle to create a design on a piece of fabric by working over existing stitches.
Design Elements,291,embroidery,surface embellishment worked on the finished piece using a thread/string/yarn and tapestry needle.
Design Elements,153,empire waist,waist shaping (seamed or not) that falls just under the bustline.
Design Elements,157,facings,"pieces of material that are folded back & inside, usually at the edges of a garment but sometimes over a seam."
Design Elements,60,fringe,Decorative edging consisting of lengths of yarn or fabric attached at one end to the work.
Design Elements,137,front fastening,utilizes some type of closure at the front of a garment or piece.
Design Elements,131,gathers,small fold or pucker made by gathering fabric together.
Design Elements,132,hems,An edge finish that consists of a folded back edge that is then fastened down.
Design Elements,85,hood,A covering for the head and neck.
Design Elements,144,lined,has a material or fabric that covers all or part of the inner surface of the garment or item.
Design Elements,95,notched,has a v-shaped cut or indentation.
Design Elements,156,peplum,"a short flared, ruffled, or gathered, strip attached to the waistline of a garment to create a frill or flounce."
Design Elements,68,picots,"a series of small, ornamental looped shapes which form a decorate edge or embellishment to fabric."
Design Elements,145,pleated,
Design Elements,289,racer back,a back treatment for sleeveless garments which is formed by extra deep armholes or straps that meet at a narrow back.
Design Elements,133,ruffles,"fabric that is significantly wider at one edge than the opposite edge, resulting in a frilled or flounced appearance."
Design Elements,138,shoulder fastening,having fastenings on the shoulders.
Design Elements,143,single breasted,"coat, jacket, cardigan or vest with a single row of buttons.  Front pieces usually only overlap for the width of the button band."
