Name,Designer,ID,URL,Free
Scrappy Yoke Sweater,Olga Putano Designs,7461072,https://www.ravelry.com/patterns/library/scrappy-yoke-sweater,False
Idris sweater,Petra Breakstone,7460911,https://www.ravelry.com/patterns/library/idris-sweater,True
Folk Spells Sweater,Briana Arlene,7461225,https://www.ravelry.com/patterns/library/folk-spells-sweater,False
Minimalist Sweater,Ewelina Murach,7461154,https://www.ravelry.com/patterns/library/minimalist-sweater-3,False
Bella Blouse,Anne Ventzel,7461152,https://www.ravelry.com/patterns/library/bella-blouse-3,False
Step by Step Sweater,Florence Miller,1255578,https://www.ravelry.com/patterns/library/step-by-step-sweater,True
Cloud Sweater,PetiteKnit,7304956,https://www.ravelry.com/patterns/library/cloud-sweater-8,False
Olga Sweater,PetiteKnit,7345961,https://www.ravelry.com/patterns/library/olga-sweater,False
Bellis sweater,Melanie Villegas,7461074,https://www.ravelry.com/patterns/library/bellis-sweater-3,False
Monday Sweater,PetiteKnit,1261294,https://www.ravelry.com/patterns/library/monday-sweater-2,False
Sweater No. 18,My Favourite Things,1197380,https://www.ravelry.com/patterns/library/sweater-no-18,False
Moorveil Sweater,Laetitia von Marées,7460698,https://www.ravelry.com/patterns/library/moorveil-sweater,False
Field Sweater,Camilla Vad,1341627,https://www.ravelry.com/patterns/library/field-sweater,False
Marguerite Cardigan,Marci Marra,7460596,https://www.ravelry.com/patterns/library/marguerite-cardigan-3,True
Firth Sweater,Rebecca Clow,7459904,https://www.ravelry.com/patterns/library/firth-sweater,False
Storm Sweater,PetiteKnit,1352501,https://www.ravelry.com/patterns/library/storm-sweater-3,False
Salty Days Sweater,Veronika Lindberg,1330476,https://www.ravelry.com/patterns/library/salty-days-sweater,False
Nova sweater,Smaakvol Knit,7461215,https://www.ravelry.com/patterns/library/nova-sweater-6,False
Ranunculus,Midori Hirose,754478,https://www.ravelry.com/patterns/library/ranunculus-3,False
Sweater No. 28,My Favourite Things,7302105,https://www.ravelry.com/patterns/library/sweater-no-28,False
Sweater No. 15,My Favourite Things,1135503,https://www.ravelry.com/patterns/library/sweater-no-15,False
Sweater No. 23,My Favourite Things,1281925,https://www.ravelry.com/patterns/library/sweater-no-23,False
The Cabin Sweater,SimpleStitchesDesigns,7460963,https://www.ravelry.com/patterns/library/the-cabin-sweater,False
Porcelain Sweater,LE KNIT by Lene Holme Samsøe,1293794,https://www.ravelry.com/patterns/library/porcelain-sweater,False
Sweater No. 29,My Favourite Things,7351460,https://www.ravelry.com/patterns/library/sweater-no-29,False
Sweater No. 14 V-neck,My Favourite Things,1135501,https://www.ravelry.com/patterns/library/sweater-no-14-v-neck,False
Ari Adult Sweater,Lana Witherspoon,7461101,https://www.ravelry.com/patterns/library/ari-adult-sweater,False
Rosie Sweater,LE KNIT by Lene Holme Samsøe,7455631,https://www.ravelry.com/patterns/library/rosie-sweater-4,False
Sweater No. 9 light,My Favourite Things,1296431,https://www.ravelry.com/patterns/library/sweater-no-9-light,False
Stripe Hype Sweater,Veronika Lindberg,1340514,https://www.ravelry.com/patterns/library/stripe-hype-sweater,False
Fuurin Sweater,Kyoko Tachikawa,7461275,https://www.ravelry.com/patterns/library/fuurin-sweater,False
FCK NZS Knit Sweater,Anika Friedrich,7461306,https://www.ravelry.com/patterns/library/fck-nzs-knit-sweater,False
Look At My Holes Drop Sleeve Sweater,James N Watts,7461417,https://www.ravelry.com/patterns/library/look-at-my-holes-drop-sleeve-sweater,False
Amy Sweater,PetiteKnit,7365396,https://www.ravelry.com/patterns/library/amy-sweater-2,False
Sweater No. 9,My Favourite Things,1007889,https://www.ravelry.com/patterns/library/sweater-no-9,False
Edinburgh Seamless Dog Sweater,CalicoRadio Knits,1303702,https://www.ravelry.com/patterns/library/edinburgh-seamless-dog-sweater,True
Norma Sweater,My Favourite Things,7321214,https://www.ravelry.com/patterns/library/norma-sweater-3,False
Sweater No. 26,My Favourite Things,1333551,https://www.ravelry.com/patterns/library/sweater-no-26,False
No Frills Sweater,PetiteKnit,710742,https://www.ravelry.com/patterns/library/no-frills-sweater,False
Caeli Sweater,Zanete Knits,7458927,https://www.ravelry.com/patterns/library/caeli-sweater,False
Sweater No. 14,My Favourite Things,1135488,https://www.ravelry.com/patterns/library/sweater-no-14-2,False
Holger Sweater,PetiteKnit,7319898,https://www.ravelry.com/patterns/library/holger-sweater,False
